2023-07-25 22:12:13.225 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 22:12:13.226 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 22:21:18.044 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 3276 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 22:21:18.052 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 22:21:19.206 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 22:21:19.331 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1208 ms
2023-07-25 22:21:20.328 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 22:21:20.543 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 2.86 seconds (JVM running for 3.793)
2023-07-25 22:21:28.061 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 22:21:28.062 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 22:22:24.956 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 752 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 22:22:24.964 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 22:22:26.241 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 22:22:26.370 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1336 ms
2023-07-25 22:22:27.688 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
